sat,target,time,az,el,R,sat_x,sat_y,sat_z,FoR
GEO-1,1,0.0,2.3615468707475453,0.2721993684762689,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,0.0,3.10103796046339,-0.5439381352833267,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,10.0,2.357680952045501,0.27502730716041085,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,10.0,3.0986474673919657,-0.5442651354524659,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,20.0,2.355260857034513,0.27602650116915217,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,20.0,3.097499678062313,-0.5430808536428718,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,30.0,2.353251881606188,0.2772161695944873,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,30.0,3.0952950623221835,-0.5424469923218943,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,40.0,2.351842695837292,0.27893285736557377,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,40.0,3.095134591208,-0.5439336447320664,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,50.0,2.350224677671228,0.2821662420026667,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,50.0,3.091571425861146,-0.5442584876238952,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,60.0,2.3457164710219534,0.2824517340329558,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,60.0,3.0917741916750527,-0.5410283399059368,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,70.0,2.345718248591328,0.2833142546705201,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,70.0,3.0903158018423493,-0.5418251400553487,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,80.0,2.343635252246386,0.28345924977158604,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,80.0,3.087947782925769,-0.5409319193658515,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,90.0,2.3423374030422446,0.28530087879676763,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,90.0,3.0855810167737485,-0.5412281138324051,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,100.0,2.339274421899258,0.2872970447448845,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,100.0,3.0862284405905505,-0.5419975416989025,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,110.0,2.3372045814188884,0.29002320746624677,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,110.0,3.081684104448723,-0.5394015806279955,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,120.0,2.3350662288468147,0.2905214068342025,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,120.0,3.0822569431045923,-0.5365801598405235,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,130.0,2.331904081069527,0.2915863988820617,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,130.0,3.0785976454795363,-0.5376763920660186,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,140.0,2.3292201157947754,0.2931087863646396,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,140.0,3.07733312154022,-0.5370133381854334,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,150.0,2.326145969430974,0.2931651979673547,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,150.0,3.073033712261679,-0.5357724699080926,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,160.0,2.3250920678150093,0.2975988792197858,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,160.0,3.073448712356028,-0.5369902776548308,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,170.0,2.3233143944084143,0.2973913757907788,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,170.0,3.0701558324887657,-0.5363791123932189,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,180.0,2.3224353678075045,0.29918643616985874,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,180.0,3.0697424750479914,-0.5349853853913815,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,190.0,2.317826614592376,0.301072200624488,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
