time_s,satellite,target_id,true_az_rad,true_el_rad,meas_az_rad,meas_el_rad,kf_az_rad,kf_el_rad,kf_az_rate_rad_s,kf_el_rate_rad_s,kf_az_acc_rad_s2,kf_el_acc_rad_s2,innov_az_rad,innov_el_rad,kf_var_az,kf_var_el
0.0,GEO-1,1,2.3604027048755083,0.2725247913131368,2.3606839155453057,0.27197096847671276,2.3606839155453057,0.27197096847671276,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,1.6e-05
0.0,GEO-2,1,3.100264153876662,-0.5442193459531243,3.101241721327788,-0.5445299024997835,3.101241721327788,-0.5445299024997835,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,1.6e-05
0.0,GEO-3,1,2.9440494321698267,-0.17028446245965503,2.943720608265769,-0.17107660921501391,2.943720608265769,-0.17107660921501391,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,1.6e-05
0.0,GEO-1,2,2.3937317246974965,0.28443825225425196,2.394186682768737,0.2843390542025345,2.394186682768737,0.2843390542025345,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,1.6e-05
0.0,GEO-2,2,3.126717804947783,-0.5245107003518215,3.1272630936617474,-0.5251178860516921,3.1272630936617474,-0.5251178860516921,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,1.6e-05
0.0,GEO-3,2,2.9708467518958583,-0.15603089474350373,2.97097357974297,-0.15692316878693352,2.97097357974297,-0.15692316878693352,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,1.6e-05
10.0,GEO-1,1,2.358234774881925,0.27404973970928487,2.359076239854295,0.2742377747962656,2.359076239854295,0.2742377747962656,-0.00016076756910106128,0.00022668063195528388,0.0,0.0,0.0,0.0,2.499823508646688e-07,2.499823508646688e-07
10.0,GEO-2,1,3.098958023938625,-0.5439363115484079,3.09928859494676,-0.5435258076354377,3.09928859494676,-0.5435258076354377,-0.00019531263810281806,0.0001004094864345828,0.0,0.0,0.0,0.0,2.499823508646688e-07,2.499823508646688e-07
10.0,GEO-3,1,2.9426110614423036,-0.16916409189068943,2.9416003039421503,-0.16838091089454538,2.9416003039421503,-0.16838091089454538,-0.0002120304323618871,0.0002695698320468537,0.0,0.0,0.0,0.0,2.499823508646688e-07,2.499823508646688e-07
10.0,GEO-1,2,2.390336940290827,0.2856896607931156,2.3923936431091697,0.28405121828988006,2.3923936431091697,0.28405121828988006,-0.00017930396595673416,-2.8783591265446606e-05,0.0,0.0,0.0,0.0,2.499823508646688e-07,2.499823508646688e-07
