time_s,satellite,target_id,meas_az_rad,meas_el_rad,true_az_rad,true_el_rad,meas_sigma_rad,sat_x_km,sat_y_km,sat_z_km
0.0,GEO-1,1,2.3606839155453057,0.27197096847671276,2.3604027048755083,0.2725247913131368,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
0.0,GEO-2,1,3.101241721327788,-0.5445299024997835,3.100264153876662,-0.5442193459531243,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
0.0,GEO-3,1,2.943720608265769,-0.17107660921501391,2.9440494321698267,-0.17028446245965503,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
0.0,GEO-1,2,2.394186682768737,0.2843390542025345,2.3937317246974965,0.28443825225425196,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
0.0,GEO-2,2,3.1272630936617474,-0.5251178860516921,3.126717804947783,-0.5245107003518215,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
0.0,GEO-3,2,2.97097357974297,-0.15692316878693352,2.9708467518958583,-0.15603089474350373,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
10.0,GEO-1,1,2.359076239854295,0.2742377747962656,2.358234774881925,0.27404973970928487,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
10.0,GEO-2,1,3.09928859494676,-0.5435258076354377,3.098958023938625,-0.5439363115484079,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
10.0,GEO-3,1,2.9416003039421503,-0.16838091089454538,2.9426110614423036,-0.16916409189068943,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
10.0,GEO-1,2,2.3923936431091697,0.28405121828988006,2.390336940290827,0.2856896607931156,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
10.0,GEO-2,2,3.1230777697432335,-0.5265453054722251,3.124807181210388,-0.5250404740583607,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
10.0,GEO-3,2,2.9695385074071994,-0.15531622943446735,2.968697048513745,-0.15544494509194143,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
20.0,GEO-1,1,2.357131346230611,0.2762939739702188,2.3560530037898717,0.2755715430979113,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
20.0,GEO-2,1,3.097809447926406,-0.5433421042115861,3.0975988761140307,-0.5436261423568366,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
20.0,GEO-3,1,2.9409606536378488,-0.16715287032352383,2.941130414135572,-0.16802133053473534,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
20.0,GEO-1,2,2.385774355274783,0.2865015675962426,2.386904071236564,0.2869234264224209,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
20.0,GEO-2,2,3.1230435143408357,-0.5237448190636371,3.1228005754877373,-0.5255462399220865,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
20.0,GEO-3,2,2.9657031336193462,-0.15591916960400626,2.9664675977350665,-0.15484010914486934,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
30.0,GEO-1,1,2.353295780107555,0.27805861394851367,2.353859067306059,0.2770893417473755,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
30.0,GEO-2,1,3.095952330858722,-0.5419641102750276,3.0961873363656136,-0.5432884572942646,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
30.0,GEO-3,1,2.937735809940684,-0.16572795732566833,2.93960833945829,-0.16685648046756882,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
30.0,GEO-1,2,2.3844713186463653,0.28671985634858477,2.383436452406436,0.2881385220383863,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
30.0,GEO-2,2,3.1208522107874495,-0.5248109462328907,3.120698628900913,-0.5260267038680853,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
30.0,GEO-3,2,2.9642475528023287,-0.15321655893992026,2.964159633760019,-0.15421626036207203,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
40.0,GEO-1,1,2.354029547663629,0.2788762186120309,2.3516546607503113,0.2786022863574385,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
40.0,GEO-2,1,3.0944437049810865,-0.5436939393917326,3.0947240872950297,-0.5429228872319132,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
40.0,GEO-3,1,2.938693798822417,-0.16586659296257053,2.9380457342208723,-0.1656698628962128,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
40.0,GEO-1,2,2.3797587472858774,0.2892286940096978,2.379937493656671,0.28933395378811283,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
